ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   COORD-COOR1,   COORD-COOR2,   COORD-COOR3,          U-U1,       S-Mises
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4103,  -3.50742E-03,  -3.56342E-03,     312.5E-03,NA,NA,"",   5.00000E-03,            0.,     312.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4162,  -2.92791E-03,  -4.05307E-03,     312.5E-03,NA,NA,"",   5.00000E-03,            0.,     312.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4326,  -2.92791E-03,  -4.05307E-03,   325.000E-03,NA,NA,"",   5.00000E-03,            0.,   325.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4267,  -3.50742E-03,  -3.56342E-03,   325.000E-03,NA,NA,"",   5.00000E-03,            0.,   325.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4490,  -2.92791E-03,  -4.05307E-03,   337.500E-03,NA,NA,"",   5.00000E-03,            0.,   337.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4431,  -3.50742E-03,  -3.56342E-03,   337.500E-03,NA,NA,"",   5.00000E-03,            0.,   337.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4654,  -2.92791E-03,  -4.05307E-03,   350.000E-03,NA,NA,"",   5.00000E-03,            0.,   350.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4595,  -3.50742E-03,  -3.56342E-03,   350.000E-03,NA,NA,"",   5.00000E-03,            0.,   350.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4818,  -2.92791E-03,  -4.05307E-03,   362.500E-03,NA,NA,"",   5.00000E-03,            0.,   362.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4759,  -3.50742E-03,  -3.56342E-03,   362.500E-03,NA,NA,"",   5.00000E-03,            0.,   362.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4923,  -3.50742E-03,  -3.56342E-03,      375.E-03,NA,NA,"",   5.00000E-03,            0.,      375.E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4982,  -2.92791E-03,  -4.05307E-03,      375.E-03,NA,NA,"",   5.00000E-03,            0.,      375.E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5146,  -2.92791E-03,  -4.05307E-03,   387.500E-03,NA,NA,"",   5.00000E-03,            0.,   387.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5087,  -3.50742E-03,  -3.56342E-03,   387.500E-03,NA,NA,"",   5.00000E-03,            0.,   387.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5310,  -2.92791E-03,  -4.05307E-03,   400.000E-03,NA,NA,"",   5.00000E-03,            0.,   400.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5251,  -3.50742E-03,  -3.56342E-03,   400.000E-03,NA,NA,"",   5.00000E-03,            0.,   400.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5474,  -2.92791E-03,  -4.05307E-03,   412.500E-03,NA,NA,"",   5.00000E-03,            0.,   412.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5415,  -3.50742E-03,  -3.56342E-03,   412.500E-03,NA,NA,"",   5.00000E-03,            0.,   412.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5638,  -2.92791E-03,  -4.05307E-03,   425.000E-03,NA,NA,"",   5.00000E-03,            0.,   425.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5579,  -3.50742E-03,  -3.56342E-03,   425.000E-03,NA,NA,"",   5.00000E-03,            0.,   425.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5743,  -3.50742E-03,  -3.56342E-03,     437.5E-03,NA,NA,"",   5.00000E-03,            0.,     437.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5802,  -2.92791E-03,  -4.05307E-03,     437.5E-03,NA,NA,"",   5.00000E-03,            0.,     437.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5966,  -2.92791E-03,  -4.05307E-03,   450.000E-03,NA,NA,"",   5.00000E-03,            0.,   450.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          5907,  -3.50742E-03,  -3.56342E-03,   450.000E-03,NA,NA,"",   5.00000E-03,            0.,   450.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          6130,  -2.92791E-03,  -4.05307E-03,   462.500E-03,NA,NA,"",   5.00000E-03,            0.,   462.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          6071,  -3.50742E-03,  -3.56342E-03,   462.500E-03,NA,NA,"",   5.00000E-03,            0.,   462.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          6294,  -2.92791E-03,  -4.05307E-03,   475.000E-03,NA,NA,"",   5.00000E-03,            0.,   475.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          6235,  -3.50742E-03,  -3.56342E-03,   475.000E-03,NA,NA,"",   5.00000E-03,            0.,   475.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          6458,  -2.92791E-03,  -4.05307E-03,   487.500E-03,NA,NA,"",   5.00000E-03,            0.,   487.500E-03,            0.,            0.
