 Increment           1
  4.9912883E-03 -0.4484341       1.409858       13779.00    
  4.9912883E-03 -0.4484341       1.415142       13902.00    
  4.9912883E-03 -0.4484341       1.422358       13902.00    
  4.9912883E-03 -0.4484341       1.427642       14025.00    
  4.9912883E-03 -0.4484341       1.434858       14025.00    
  4.9912883E-03 -0.4484341       1.440142       14148.00    
  4.9912883E-03 -0.4484341       1.447358       14148.00    
  4.9912883E-03 -0.4484341       1.452642       14271.00    
  4.9912883E-03 -0.4484341       1.459858       14271.00    
  4.9912883E-03 -0.4484341       1.465142       14394.00    
  4.9912883E-03 -0.4484341       1.472358       14394.00    
  4.9912883E-03 -0.4484341       1.477642       14517.00    
  4.9912883E-03 -0.4484341       1.484858       14517.00    
  4.9912883E-03 -0.4484341       1.490142       14640.00    
  4.9912883E-03 -0.4484341       1.497358       14640.00    
  4.9912883E-03 -0.4484341       1.502642       14763.00    
  4.9912883E-03 -0.4484341       1.509858       14763.00    
  4.9912883E-03 -0.4484341       1.515142       14886.00    
  4.9912883E-03 -0.4484341       1.522358       14886.00    
  4.9912883E-03 -0.4484341       1.527642       15009.00    
  4.9912883E-03 -0.4484341       1.534858       15009.00    
  4.9912883E-03 -0.4484341       1.540142       15132.00    
  4.9912883E-03 -0.4484341       1.547358       15132.00    
  4.9912883E-03 -0.4484341       1.552642       15255.00    
  4.9912883E-03 -0.4484341       1.559858       15255.00    
  4.9912883E-03 -0.4484341       1.565142       15378.00    
  4.9912883E-03 -0.4484341       1.572358       15378.00    
  4.9912883E-03 -0.4484341       1.577642       15501.00    
  4.9912883E-03 -0.4484341       1.584858       15501.00    
  4.9912883E-03 -0.4484341       1.590142       15624.00    
  4.9912883E-03 -0.4484341       1.597358       15624.00    
  4.9912883E-03 -0.4484341       1.602642       15747.00    
  4.9912883E-03 -0.4484341       1.609858       15747.00    
  4.9912883E-03 -0.4484341       1.615142       15870.00    
  4.9912883E-03 -0.4484341       1.622358       15870.00    
  4.9912883E-03 -0.4484341       1.627642       15993.00    
  4.9912883E-03 -0.4484341       1.634858       15993.00    
  4.9912883E-03 -0.4484341       1.640142       16116.00    
  4.9912883E-03 -0.4484341       1.647358       16116.00    
  4.9912883E-03 -0.4484341       1.652642       16239.00    
  4.9912883E-03 -0.4484341       1.659858       16239.00    
  4.9912883E-03 -0.4484341       1.665142       16362.00    
  4.9912883E-03 -0.4484341       1.672358       16362.00    
  4.9912883E-03 -0.4484341       1.677642       16485.00    
  4.9912883E-03 -0.4484341       1.684858       16485.00    
  4.9912883E-03 -0.4484341       1.690142       16608.00    
  4.9912883E-03 -0.4484341       1.697358       16608.00    
  4.9912883E-03 -0.4484341       1.702642       16731.00    
  4.9912883E-03 -0.4484341       1.709858       16731.00    
  4.9912883E-03 -0.4484341       1.715142       16854.00    
  4.9912883E-03 -0.4484341       1.722358       16854.00    
  4.9912883E-03 -0.4484341       1.727642       16977.00    
  4.9912883E-03 -0.4484341       1.734858       16977.00    
  4.9912883E-03 -0.4484341       1.740142       17100.00    
  4.9912883E-03 -0.4484341       1.747358       17100.00    
  4.9912883E-03 -0.4484341       1.752642       17223.00    
  4.9912883E-03 -0.4484341       1.759858       17223.00    
  4.9912883E-03 -0.4484341       1.765142       17346.00    
  4.9912883E-03 -0.4484341       1.772358       17346.00    
  4.9912883E-03 -0.4484341       1.777642       17469.00    
  4.9912883E-03 -0.4484341       1.784858       17469.00    
  4.9912883E-03 -0.4484341       1.790142       17592.00    
  4.9912883E-03 -0.4484341       1.797358       17592.00    
  4.9912883E-03 -0.4484341       1.802642       17715.00    
  4.9912883E-03 -0.4484341       1.809858       17715.00    
  4.9912883E-03 -0.4484341       1.815142       17838.00    
  4.9912883E-03 -0.4484341       1.822358       17838.00    
  4.9912883E-03 -0.4484341       1.827642       17961.00    
  4.9912883E-03 -0.4484341       1.834858       17961.00    
  4.9912883E-03 -0.4484341       1.840142       18084.00    
  4.9912883E-03 -0.4484341       1.847358       18084.00    
  4.9912883E-03 -0.4484341       1.852642       18207.00    
  4.9912883E-03 -0.4484341       1.859858       18207.00    
  4.9912883E-03 -0.4484341       1.865142       18330.00    
  4.9912883E-03 -0.4484341       1.872358       18330.00    
  4.9912883E-03 -0.4484341       1.877642       18453.00    
  4.9912883E-03 -0.4484341       1.884858       18453.00    
  4.9912883E-03 -0.4484341       1.890142       18576.00    
  4.9912883E-03 -0.4484341       1.897358       18576.00    
  4.9912883E-03 -0.4484341       1.902642       18699.00    
  4.9912883E-03 -0.4484341       1.909858       18699.00    
  4.9912883E-03 -0.4484341       1.915142       18822.00    
  4.9912883E-03 -0.4484341       1.922358       18822.00    
  4.9912883E-03 -0.4484341       1.927642       18945.00    
  4.9912883E-03 -0.4484341       1.934858       18945.00    
  4.9912883E-03 -0.4484341       1.940142       19068.00    
  4.9912883E-03 -0.4484341       1.947358       19068.00    
  4.9912883E-03 -0.4484341       1.952642       19191.00    
  4.9912883E-03 -0.4484341       1.959858       19191.00    
  4.9912883E-03 -0.4484341       1.965142       19314.00    
  4.9912883E-03 -0.4484341       1.972358       19314.00    
  4.9912883E-03 -0.4484341       1.977642       19437.00    
  4.9912883E-03 -0.4484341       1.984858       19437.00    
  4.9912883E-03 -0.4484341       1.990142       19560.00    
  4.9912883E-03 -0.4484341       1.997358       19560.00    
 Increment           2
  4.9912790E-03 -0.4484341      2.6415610E-03   3.000000    
  4.9912767E-03 -0.4484341      9.8584397E-03   3.000000    
  4.9912757E-03 -0.4484341      1.5141561E-02   126.0000    
  4.9912757E-03 -0.4484341      2.2358440E-02   126.0000    
  4.9912757E-03 -0.4484341      2.7641561E-02   249.0000    
  4.9912757E-03 -0.4484341      3.4858439E-02   249.0000    
  4.9912757E-03 -0.4484341      4.0141564E-02   372.0000    
  4.9912757E-03 -0.4484341      4.7358438E-02   372.0000    
  4.9912757E-03 -0.4484341      5.2641563E-02   495.0000    
  4.9912757E-03 -0.4484341      5.9858438E-02   495.0000    
  4.9912757E-03 -0.4484341      6.5141559E-02   618.0000    
  4.9912757E-03 -0.4484341      7.2358444E-02   618.0000    
  4.9912757E-03 -0.4484341      7.7641562E-02   741.0000    
  4.9912757E-03 -0.4484341      8.4858440E-02   741.0000    
  4.9912757E-03 -0.4484341      9.0141557E-02   864.0000    
  4.9912757E-03 -0.4484341      9.7358443E-02   864.0000    
  4.9912757E-03 -0.4484341      0.1026416       987.0000    
  4.9912757E-03 -0.4484341      0.1098584       987.0000    
  4.9912757E-03 -0.4484341      0.1151416       1110.000    
  4.9912757E-03 -0.4484341      0.1223584       1110.000    
